Date,H,COCO,TEMP,DWPT,TSUN,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,RHUM
2024-05-29,23,Rain,29,27,—,0,—,240,7,—,1007,89
2024-05-29,22,Rain,29,26,—,0,—,270,9,—,1007,84
2024-05-29,21,Rain,29,26,—,0,—,260,11,—,1007,84
2024-05-29,20,Rain,30,27,—,0,—,270,13,—,1007,84
2024-05-29,19,Rain,31,26,—,0.2,—,290,6,—,1006,75
2024-05-29,18,Rain,31,26,—,4.9,—,350,6,—,1006,75
2024-05-29,17,Thunderstorm,32,26.1,—,1.2,—,360,9,—,1005,71
2024-05-29,16,Rain,33,26.1,—,0.6,—,350,11,—,1005,67
2024-05-29,15,Rain,33,25,—,0.7,—,320,13,—,1005,63
2024-05-29,14,Rain,34,26,—,0,—,330,11,—,1005,63
2024-05-29,13,Rain,34,26,—,0,—,300,13,—,1006,63
2024-05-29,12,Day Cloudy,34,25.1,—,0,—,300,13,—,1007,60
2024-05-29,11,Day Cloudy,34,26,—,0,—,310,11,—,1007,63
2024-05-29,10,Day Cloudy,33,26.1,—,0,—,300,11,—,1008,67
2024-05-29,09,Cloudy,32,27,—,0,—,280,9,—,1008,75
2024-05-29,08,Day Cloudy,31,28,—,0,—,260,15,—,1008,84
2024-05-29,07,Day Cloudy,29,27.9,—,0,—,250,11,—,1007,94
2024-05-29,06,Day Cloudy,29,27.9,—,0,—,270,7,—,1007,94
2024-05-29,05,Day Cloudy,28,28,—,0,—,250,11,—,1007,100
2024-05-29,04,Cloudy,28,26.9,—,0,—,250,6,—,1006,94
2024-05-29,03,Cloudy,28,28,—,0,—,230,9,—,1006,100
2024-05-29,02,Cloudy,28,28,—,0,—,220,13,—,1007,100
2024-05-29,01,Cloudy,28,28,—,0,—,230,13,—,1007,100
2024-05-29,00,Cloudy,29,27.9,—,0,—,220,9,—,1007,94
2024-05-28,23,Day Cloudy,29,27.9,—,0,—,220,9,—,1008,94
2024-05-28,22,Cloudy,29,27.9,—,0,—,210,7,—,1008,94
2024-05-28,21,Rain,29,27,—,0,—,220,7,—,1008,89
2024-05-28,20,Rain,29,27.9,—,0,—,210,11,—,1007,94
2024-05-28,19,Rain,30,28,—,0,—,200,13,—,1007,89
2024-05-28,18,Thunderstorm,30,28,—,0,—,238,6,—,1006,89
2024-05-28,17,Thunderstorm,31,28,—,2.3,—,249,4,—,1006,84
2024-05-28,16,Thunderstorm,30,28,—,0.9,—,110,4,—,1005,89
2024-05-28,15,Thunderstorm,32,27,—,1.6,—,130,2,—,1005,75
2024-05-28,14,Thunderstorm,32,27,—,0.7,—,300,6,—,1006,75
2024-05-28,13,Rain Wind,32,27,—,0.1,—,290,13,—,1006,75
2024-05-28,12,Rain,31,28,—,0,—,290,11,—,1007,84
2024-05-28,11,Cloudy,32,27,—,0,—,248,4,—,1009,75
2024-05-28,10,Cloudy,32,26.1,—,0,—,247,4,—,1009,71
2024-05-28,09,Cloudy,31,28,—,0.1,—,300,7,—,1009,84
2024-05-28,08,Cloudy,30,28,—,0.3,—,290,13,—,1008,89
2024-05-28,07,Cloudy,27.2,26.1,—,0.2,—,179,3.7,—,1008.2,94
2024-05-28,06,Cloudy,29,27.9,—,6,—,250,11,—,1008,94
2024-05-28,05,Cloudy,29,27.9,—,0.9,—,250,13,—,1007,94
2024-05-28,04,Cloudy,29,27.9,—,10.1,—,250,13,—,1007,94
2024-05-28,03,Cloudy,29,27.9,—,5.5,—,220,9,—,1007,94
2024-05-28,02,Cloudy,26.9,25.7,—,7.8,—,182,3.7,—,1007.8,93
2024-05-28,01,Day Cloudy,29,27.9,—,2.6,—,220,15,—,1007,94
2024-05-28,00,Day Cloudy,29,27,—,0,—,230,15,—,1008,89
2024-05-27,23,Day Cloudy,27.8,25.6,—,0,—,210,5.5,—,1008.3,88
2024-05-27,22,Day Cloudy,29,27,—,0,—,210,11,—,1008,89
2024-05-27,21,Day Cloudy,29,27,—,0,—,210,17,—,1007,89
2024-05-27,20,Cloudy,29,27,—,0,—,220,6,—,1007,89
2024-05-27,19,Cloudy,29,27.9,—,0,—,200,11,—,1007,94
2024-05-27,18,Cloudy,31,26.9,—,0.4,—,140,15,—,1006,79
2024-05-27,17,Cloudy,35,26.1,—,0.8,—,290,19,—,1004,60
2024-05-27,16,Day Cloudy,36,24.9,—,0.7,—,260,17,—,1004,53
2024-05-27,15,Day Cloudy,37,24.2,—,0,—,260,13,—,1004,48
2024-05-27,14,Day Cloudy,37,24.9,—,0,—,260,9,—,1005,50
2024-05-27,13,Day Cloudy,36,23.9,—,0,—,240,6,—,1006,50
2024-05-27,12,Day Cloudy,36,23.9,—,0,—,300,9,—,1007,50
2024-05-27,11,Day Cloudy,36,24.9,—,0,—,300,7,—,1008,53
2024-05-27,10,Day Cloudy,34,27,—,0,—,270,7,—,1008,67
2024-05-27,09,Day Cloudy,33,28,—,0,—,250,11,—,1009,75
2024-05-27,08,Day Cloudy,32,29,—,0,—,250,13,—,1009,84
2024-05-27,07,Day Cloudy,31,29,—,0,—,230,11,—,1009,89
2024-05-27,06,Day Cloudy,29,27.9,—,0,—,240,7,—,1008,94
2024-05-27,05,Day Cloudy,29,27.9,—,0,—,240,9,—,1008,94
2024-05-27,04,Day Cloudy,29,27.9,—,0,—,230,9,—,1008,94
2024-05-27,03,Day Cloudy,29,27.9,—,0,—,230,11,—,1007,94
2024-05-27,02,Day Cloudy,29,27.9,—,0,—,220,11,—,1008,94
2024-05-27,01,Day Cloudy,30,28,—,0,—,210,13,—,1008,89
2024-05-27,00,Day Cloudy,30,27,—,0,—,220,11,—,1008,84
2024-05-26,23,Day Cloudy,30,27,—,0,—,220,7,—,1009,84
2024-05-26,22,Day Cloudy,30,26,—,0,—,230,7,—,1009,79
2024-05-26,21,Day Cloudy,30,26,—,0,—,230,11,—,1009,79
2024-05-26,20,Cloudy,31,26,—,0,—,190,11,—,1008,75
2024-05-26,19,Cloudy,31,26,—,0.5,—,200,13,—,1007,75
2024-05-26,18,Cloudy,31,26,—,0.2,—,230,9,—,1007,75
2024-05-26,17,Cloudy,32,26.1,—,0.4,—,230,13,—,1006,71
2024-05-26,16,Cloudy,31,26,—,0.3,—,210,13,—,1007,75
2024-05-26,15,Cloudy,29,26,—,0.3,—,260,15,—,1007,84
2024-05-26,14,Day Cloudy,32,26.1,—,0,—,290,2,—,1007,71
2024-05-26,13,Day Cloudy,35,24,—,0,—,239,2,—,1008,53
2024-05-26,12,Day Cloudy,35,24.9,—,0,—,214,2,—,1009,56
2024-05-26,11,Day Cloudy,34,27,—,0,—,193,2,—,1009,67
2024-05-26,10,Day Cloudy,33,27,—,0,—,170,2,—,1010,71
2024-05-26,09,Day Cloudy,31,28,—,0,—,182,2,—,1011,84
2024-05-26,08,Day Cloudy,30,28,—,0,—,198,6,—,1011,89
2024-05-26,07,Day Cloudy,29,27.9,—,0,—,203,4,—,1011,94
2024-05-26,06,Day Cloudy,27,26,—,0,—,195,2,—,1009,94
2024-05-26,05,Day Cloudy,27,26,—,0,—,130,7,—,1009,94
2024-05-26,04,Day Cloudy,26,26,—,0,—,10,19,—,1009,100
2024-05-26,03,Day Cloudy,28,26,—,0,—,350,9,—,1009,89
2024-05-26,02,Day Cloudy,30,27,—,0,—,270,7,—,1009,84
2024-05-26,01,Day Cloudy,31,28,—,0,—,180,9,—,1009,84
2024-05-26,00,Day Cloudy,31,28,—,0.9,—,140,6,—,1010,84
2024-05-25,23,Day Cloudy,31,28,—,0.5,—,140,9,—,1010,84
2024-05-25,22,Day Cloudy,31,28,—,0.2,—,170,13,—,1010,84
2024-05-25,21,Day Cloudy,31,28,—,0,—,180,15,—,1009,84
2024-05-25,20,Cloudy,31,28,—,0,—,170,13,—,1008,84
2024-05-25,19,Cloudy,32,28.1,—,0,—,170,13,—,1007,80
2024-05-25,18,Cloudy,32,26.1,—,0,—,180,17,—,1006,71
2024-05-25,17,Cloudy,34,24,—,0,—,190,15,—,1005,56
2024-05-25,16,Cloudy,35,24,—,0,—,190,17,—,1005,53
2024-05-25,15,Cloudy,36,24.9,—,0.4,—,180,15,—,1005,53
2024-05-25,14,Day Cloudy,35,24.9,—,0.1,—,210,15,—,1006,56
2024-05-25,13,Day Cloudy,36,23.9,—,1.2,—,170,7,—,1008,50
2024-05-25,12,Day Cloudy,35,24,—,0.2,—,130,9,—,1008,53
2024-05-25,11,Day Cloudy,35,24.9,—,0,—,120,13,—,1008,56
2024-05-25,10,Day Cloudy,34,25.1,—,0,—,150,9,—,1009,60
2024-05-25,09,Day Cloudy,33,26.1,—,0,—,150,9,—,1010,67
2024-05-25,08,Day Cloudy,32,28.1,—,0,—,150,9,—,1009,80
2024-05-25,07,Day Cloudy,31,28,—,0,—,140,9,—,1009,84
2024-05-25,06,Day Cloudy,31,28,—,0,—,130,4,—,1009,84
2024-05-25,05,Day Cloudy,30,28,—,0,—,110,4,—,1008,89
2024-05-25,04,Day Cloudy,30,28,—,0,—,160,2,—,1008,89
2024-05-25,03,Day Cloudy,30,28,—,0,—,140,6,—,1008,89
2024-05-25,02,Day Cloudy,30,28,—,0,—,150,7,—,1008,89
2024-05-25,01,Day Cloudy,30,28,—,0,—,150,7,—,1008,89
2024-05-25,00,Day Cloudy,30,28,—,0,—,140,11,—,1009,89
2024-05-24,23,Day Cloudy,30,28,—,0,—,130,11,—,1009,89
2024-05-24,22,Day Cloudy,31,28,—,0,—,120,11,—,1009,84
2024-05-24,21,Day Cloudy,31,26.9,—,0,—,160,9,—,1008,79
2024-05-24,20,Cloudy,31,26.9,—,0,—,170,7,—,1008,79
2024-05-24,19,Cloudy,31,26.9,—,0,—,210,7,—,1007,79
2024-05-24,18,Cloudy,30,28,—,0,—,76,2,—,1006,89
2024-05-24,17,Cloudy,31,26,—,0,—,90,15,—,1006,75
2024-05-24,16,Cloudy,35,24.9,—,0,—,180,11,—,1004,56
2024-05-24,15,Cloudy,35,24,—,0,—,150,9,—,1005,53
2024-05-24,14,Day Cloudy,36,23.9,—,0,—,150,9,—,1005,50
2024-05-24,13,Day Cloudy,36,23.9,—,0,—,20,7,—,1007,50
2024-05-24,12,Day Cloudy,36,23.9,—,0,—,280,7,—,1007,50
2024-05-24,11,Day Cloudy,35,24,—,0,—,82,4,—,1008,53
2024-05-24,10,Day Cloudy,34,25.1,—,0,—,113,2,—,1008,60
2024-05-24,09,Day Cloudy,32,26.1,—,0,—,70,2,—,1009,71
2024-05-24,08,Cloudy,30,28.9,—,0,—,176,4,—,1009,94
2024-05-24,07,Cloudy,30,28,—,0,—,239,4,—,1009,89
2024-05-24,06,Cloudy,28,28,—,0,—,60,4,—,1008,100
2024-05-24,05,Cloudy,27,27,—,0,—,50,4,—,1007,100
2024-05-24,04,Day Cloudy,27,27,—,0,—,90,4,—,1007,100
2024-05-24,03,Cloudy,27,27,—,0,—,60,2,—,1007,100
2024-05-24,02,Cloudy,27,27,—,0,—,340,2,—,1007,100
2024-05-24,01,Cloudy,28,26.9,—,0,—,238,3.7,—,1008,94
2024-05-24,00,Cloudy,28,26.9,—,0,—,256,4,—,1009,94
