epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1174,1.05114,2.76098,1.36608,0.47203,0.34213,0.34976,0.24986,1.16074,2.55114,1.52861,0.0003636,0.0003636,0.0003636
2,73.9278,1.13765,2.2188,1.42188,0.34183,0.36459,0.30247,0.17881,1.39074,2.74873,1.79492,0.000726667,0.000726667,0.000726667
3,110.754,1.21374,2.16104,1.46661,0.31135,0.36604,0.27239,0.15768,1.49317,2.52157,1.88886,0.0010824,0.0010824,0.0010824
4,147.538,1.21227,2.06666,1.46773,0.26796,0.36612,0.26562,0.13576,1.70489,2.50292,2.03709,0.001078,0.001078,0.001078
5,184.766,1.19665,1.92071,1.43377,0.4499,0.33678,0.30522,0.17263,1.56247,3.05547,2.01486,0.001067,0.001067,0.001067
6,222.241,1.20411,1.87223,1.46246,0.4231,0.4324,0.36813,0.21645,1.57873,2.22695,1.8513,0.00105601,0.00105601,0.00105601
7,259.163,1.16767,1.81049,1.43571,0.34943,0.40764,0.35791,0.21512,1.50116,2.22714,1.85592,0.00104501,0.00104501,0.00104501
8,296.203,1.15421,1.75759,1.43335,0.45172,0.44304,0.40156,0.25703,1.46005,2.2471,1.83181,0.00103401,0.00103401,0.00103401
9,333.109,1.09469,1.64702,1.39867,0.36408,0.50327,0.40864,0.26797,1.37848,2.12762,1.7695,0.00102301,0.00102301,0.00102301
10,370.139,1.11356,1.58513,1.37627,0.50401,0.39353,0.4235,0.29218,1.41255,1.91279,1.70193,0.00101201,0.00101201,0.00101201
11,406.981,1.10402,1.56488,1.385,0.4779,0.41344,0.40914,0.26047,1.36591,2.09917,1.73058,0.00100101,0.00100101,0.00100101
12,444.256,1.09343,1.47463,1.36754,0.53064,0.43679,0.4604,0.29695,1.36635,1.91994,1.72902,0.000990012,0.000990012,0.000990012
13,481.423,1.05777,1.38869,1.34887,0.53139,0.42061,0.45125,0.31821,1.33761,1.9458,1.67081,0.000979013,0.000979013,0.000979013
14,518.583,1.03943,1.39433,1.34207,0.56627,0.38147,0.45383,0.29159,1.35508,2.00096,1.686,0.000968014,0.000968014,0.000968014
15,555.725,1.0409,1.40652,1.34437,0.52416,0.42205,0.42154,0.28003,1.3245,2.09465,1.6704,0.000957015,0.000957015,0.000957015
16,592.75,1.01234,1.30104,1.31107,0.47507,0.41128,0.43391,0.28502,1.47816,1.97283,1.76358,0.000946016,0.000946016,0.000946016
17,630.01,0.99497,1.26424,1.31973,0.48962,0.48869,0.46317,0.31328,1.37336,1.81175,1.71197,0.000935018,0.000935018,0.000935018
18,667.059,0.99437,1.25393,1.30681,0.54813,0.45757,0.45987,0.30898,1.47283,2.01393,1.85128,0.000924019,0.000924019,0.000924019
19,704.257,1.01282,1.21664,1.31858,0.58399,0.46726,0.47979,0.31578,1.37603,1.91797,1.67929,0.00091302,0.00091302,0.00091302
20,741.659,0.97637,1.2207,1.28251,0.43229,0.5629,0.46957,0.31134,1.31703,1.94777,1.66776,0.000902021,0.000902021,0.000902021
21,778.612,0.95584,1.19764,1.28969,0.57549,0.46776,0.49176,0.33471,1.37773,1.86312,1.77725,0.000891022,0.000891022,0.000891022
22,815.363,0.94187,1.09466,1.2631,0.58006,0.49396,0.49318,0.33518,1.33131,1.82961,1.67457,0.000880023,0.000880023,0.000880023
23,852.261,0.9246,1.10318,1.25232,0.48217,0.52073,0.48418,0.33512,1.31285,1.73846,1.62829,0.000869024,0.000869024,0.000869024
24,889.092,0.94755,1.0693,1.27079,0.51424,0.54376,0.50758,0.33242,1.36247,1.81476,1.7137,0.000858025,0.000858025,0.000858025
25,925.794,0.91749,1.06395,1.25004,0.62012,0.49394,0.51689,0.34206,1.33357,1.79667,1.68352,0.000847026,0.000847026,0.000847026
26,962.676,0.89993,1.03967,1.24721,0.61875,0.42979,0.50912,0.35191,1.28184,1.78656,1.63099,0.000836027,0.000836027,0.000836027
27,999.613,0.87896,0.99331,1.22343,0.56716,0.47568,0.4805,0.32049,1.36868,2.01142,1.70806,0.000825029,0.000825029,0.000825029
28,1036.39,0.87313,0.99577,1.21637,0.56256,0.50666,0.48009,0.3253,1.32458,1.89032,1.71333,0.00081403,0.00081403,0.00081403
29,1073.97,0.85718,0.96475,1.20677,0.63907,0.52115,0.55719,0.39653,1.30719,1.74705,1.68584,0.000803031,0.000803031,0.000803031
30,1111.17,0.87353,0.96258,1.21933,0.53226,0.49667,0.50403,0.32419,1.33311,1.77402,1.67068,0.000792032,0.000792032,0.000792032
31,1148.27,0.86791,0.97423,1.21711,0.50215,0.53463,0.50965,0.35145,1.34256,1.84813,1.71957,0.000781033,0.000781033,0.000781033
32,1185.55,0.85766,0.93251,1.19617,0.54342,0.48828,0.50598,0.34409,1.40089,1.79351,1.72923,0.000770034,0.000770034,0.000770034
33,1222.56,0.8567,0.93997,1.19957,0.63476,0.46254,0.4961,0.34747,1.33121,1.7712,1.65347,0.000759035,0.000759035,0.000759035
34,1259.63,0.84175,0.92035,1.19947,0.58709,0.51662,0.52809,0.37111,1.25648,1.70334,1.63762,0.000748036,0.000748036,0.000748036
35,1296.42,0.80926,0.85772,1.17216,0.59743,0.51535,0.53305,0.36248,1.28835,1.66936,1.65835,0.000737037,0.000737037,0.000737037
36,1333.56,0.80911,0.84212,1.18041,0.53142,0.55309,0.51485,0.35926,1.28644,1.63607,1.6295,0.000726038,0.000726038,0.000726038
37,1371.38,0.82668,0.88862,1.19328,0.60878,0.47892,0.50275,0.35122,1.30065,1.81025,1.67047,0.00071504,0.00071504,0.00071504
38,1408.99,0.80047,0.85698,1.17802,0.51284,0.50225,0.47347,0.32114,1.38222,1.74004,1.73901,0.000704041,0.000704041,0.000704041
